volume,speed
560,48
595,47
620,43
519,48
430,50
609,43
680,44
640,45
590,47
470,50
578,48
542,49
546,47
567,46
438,50
589,43
648,41
632,40
540,47
480,52
390,50
297,46
180,50
130,46
